,tick,exchange,country_name,currency,sector,industry,fulltime_employees
1404,603916.SS,Shanghai,China,CNY,Basic Materials,Building Materials,"2,536"
1405,603583.SS,Shanghai,China,CNY,Industrials,Specialty Industrial Machinery,"2,323"
1406,000158.SZ,Shenzhen,China,CNY,Consumer Cyclical,Textile Manufacturing,"5,007"
1407,688097.SS,Shanghai,China,CNY,Industrials,Specialty Industrial Machinery,
1408,301058.SZ,Shenzhen,China,CNY,Industrials,Specialty Industrial Machinery,
1409,000016.SZ,Shenzhen,China,CNY,Technology,Consumer Electronics,"16,238"
1410,002967.SZ,Shenzhen,China,CNY,Industrials,Consulting Services,"4,786"
1411,002677.SZ,Shenzhen,China,CNY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","1,179"
1412,600963.SS,Shanghai,China,CNY,Basic Materials,Paper & Paper Products,"3,766"
1413,600428.SS,Shanghai,China,CNY,Industrials,Marine Shipping,"3,906"
1414,002102.SZ,Shenzhen,China,CNY,Industrials,Conglomerates,949
1415,002759.SZ,Shenzhen,China,CNY,Consumer Cyclical,"Furnishings, Fixtures & Appliances","1,249"
1416,001313.SZ,Shenzhen,China,CNY,Consumer Defensive,Farm Products,
1417,600129.SS,Shanghai,China,CNY,Healthcare,Drug Manufacturers—Specialty & Generic,"12,782"
1418,605018.SS,Shanghai,China,CNY,Consumer Cyclical,Auto Parts,"2,286"
1419,002335.SZ,Shenzhen,China,CNY,Industrials,Electrical Equipment & Parts,"3,555"
1420,600363.SS,Shanghai,China,CNY,Technology,Electronic Components,"6,216"
1421,200505.SZ,Shenzhen,China,HKD,Consumer Defensive,Packaged Foods,
1422,000030.SZ,Shenzhen,China,CNY,Consumer Cyclical,Auto Parts,"7,397"
1423,002434.SZ,Shenzhen,China,CNY,Consumer Cyclical,Auto Parts,
1424,002549.SZ,Shenzhen,China,CNY,Basic Materials,Chemicals,705
1425,605116.SS,Shanghai,China,CNY,Healthcare,Biotechnology,939
1426,300068.SZ,Shenzhen,China,CNY,Industrials,Electrical Equipment & Parts,"7,469"
1427,002440.SZ,Shenzhen,China,CNY,Basic Materials,Specialty Chemicals,"5,124"
1428,603113.SS,Shanghai,China,CNY,Basic Materials,Chemicals,"2,920"
1429,600569.SS,Shanghai,China,CNY,Basic Materials,Steel,"15,347"
1430,600478.SS,Shanghai,China,CNY,Industrials,Electrical Equipment & Parts,"2,930"
1431,688315.SS,Shanghai,China,CNY,Healthcare,Biotechnology,"2,169"
1432,688700.SS,Shanghai,China,CNY,Industrials,Specialty Industrial Machinery,"1,019"
1433,603429.SS,Shanghai,China,CNY,Consumer Cyclical,Packaging & Containers,997
1434,600059.SS,Shanghai,China,CNY,Consumer Defensive,Beverages—Wineries & Distilleries,
1435,300315.SZ,Shenzhen,China,CNY,Communication Services,Electronic Gaming & Multimedia,"1,377"
